MiningPower,NON,Height,Onchain,Orphan,AttackSuccess,BuildTime
0.080,1000,200,18,2,1,14
0.080,1000,250,29,4,1,29
0.080,3000,30,11,4,1,54
0.080,3000,50,8,2,1,1
0.080,3000,100,10,2,1,9
0.080,3000,200,24,6,1,10
0.080,3000,250,36,5,1,14
0.080,6000,30,7,2,1,29
0.080,6000,50,10,7,1,56
0.080,6000,100,10,3,1,1
0.080,6000,200,21,3,1,10
0.080,6000,250,27,3,1,824
0.080,8000,30,5,3,1,835
0.080,8000,50,7,2,1,1
0.080,8000,100,13,3,1,1
0.080,8000,200,29,2,1,1
0.080,8000,250,23,2,1,1
0.080,8050,30,10,2,1,1
0.080,8050,50,9,2,1,2
0.080,8050,100,11,5,1,3
0.080,8050,200,23,2,1,4
0.080,8050,250,25,2,1,2
0.100,300,30,4,5,0,4
0.100,300,50,10,3,1,7
0.100,300,100,15,3,1,14
0.100,300,200,33,3,1,17
0.100,300,250,35,5,1,6
0.100,1000,30,7,2,1,10
0.100,1000,50,9,3,1,19
0.100,1000,100,11,2,1,38
0.100,1000,200,25,2,1,43
0.100,1000,250,29,3,1,9
0.100,3000,30,5,2,1,14
0.100,3000,50,10,4,1,29
0.100,3000,100,17,3,1,50
0.100,3000,200,31,2,1,1
0.100,3000,250,34,2,1,10
0.100,6000,30,5,3,1,10
0.100,6000,50,9,2,1,16
0.100,6000,100,10,2,1,29
0.100,6000,200,18,4,1,55
0.100,6000,250,31,2,1,1
0.100,8000,30,5,2,1,10
0.100,8000,50,11,2,1,948
0.100,8000,100,14,2,1,1
0.100,8000,200,31,2,1,1
0.100,8000,250,23,2,1,1
0.100,8050,30,7,4,1,1
0.100,8050,50,10,2,1,1
0.100,8050,100,15,4,1,1
0.100,8050,200,29,2,1,2
0.100,8050,250,26,3,1,3
0.007,300,30,3,8,0,4
0.007,300,50,5,7,0,2
0.007,300,100,6,2,0,4
0.007,300,200,8,5,0,7
0.007,300,250,10,3,0,13
0.007,1000,30,2,4,0,17
0.007,1000,50,6,4,1,6
0.007,1000,100,2,4,0,10
0.007,1000,200,5,5,1,20
0.007,1000,250,4,3,0,36
0.007,3000,30,1,20,0,41
0.007,3000,50,2,22,0,9
0.007,3000,100,7,10,1,16
0.007,3000,200,9,14,0,23
0.007,3000,250,10,5,1,56
0.007,6000,30,2,18,0,55
0.007,6000,50,8,12,1,8
0.007,6000,100,6,5,1,15
0.007,6000,200,4,16,0,30
0.007,6000,250,5,11,0,46
0.007,8000,30,5,6,1,53
0.007,8000,50,7,4,1,852
0.007,8000,100,7,5,1,865
0.007,8000,200,10,9,1,1
0.007,8000,250,10,10,1,1
0.007,8050,30,5,13,1,1
0.007,8050,50,4,9,1,1
0.007,8050,100,5,4,1,1
0.007,8050,200,9,10,1,2
0.007,8050,250,9,3,1,3
0.010,300,30,2,4,0,4
0.010,300,50,4,6,0,2
0.010,300,100,3,4,0,3
0.010,300,200,8,3,0,7
0.010,300,250,10,5,0,14
0.010,1000,30,1,6,0,17
0.010,1000,50,2,6,0,5
0.010,1000,100,2,6,0,10
0.010,1000,200,9,2,1,18
0.010,1000,250,6,5,0,36
0.010,3000,30,2,7,0,49
0.010,3000,50,6,8,1,10
0.010,3000,100,8,6,1,15
0.010,3000,200,8,14,0,30
0.010,3000,250,22,2,1,49
0.010,6000,30,5,6,1,1
0.010,6000,50,7,4,1,10
0.010,6000,100,6,7,1,8
0.010,6000,200,9,6,1,14
0.010,6000,250,11,4,0,29
0.010,8000,30,2,13,0,56
0.010,8000,50,6,3,1,1
0.010,8000,100,6,3,1,833
0.010,8000,200,6,4,1,875
0.010,8000,250,8,4,1,1
0.010,8050,30,4,3,1,1
0.010,8050,50,4,5,1,1
0.010,8050,100,7,11,1,1
0.010,8050,200,9,2,1,1
0.010,8050,250,4,15,0,2
0.030,300,30,2,6,0,4
0.030,300,50,8,3,1,4
0.030,300,100,9,4,1,2
0.030,300,200,11,5,0,4
0.030,300,250,21,4,0,7
0.030,1000,30,6,2,1,14
0.030,1000,50,3,5,0,17
0.030,1000,100,4,2,0,5
0.030,1000,200,9,2,1,10
0.030,1000,250,19,2,1,20
0.030,3000,30,4,8,1,39
0.030,3000,50,5,2,1,46
0.030,3000,100,12,9,1,10
0.030,3000,200,15,5,1,14
0.030,3000,250,19,3,1,28
0.030,6000,30,6,4,1,56
0.030,6000,50,6,3,1,1
0.030,6000,100,14,4,1,10
0.030,6000,200,14,3,1,9
0.030,6000,250,12,4,1,14
0.030,8000,30,4,6,1,29
0.030,8000,50,6,5,1,1
0.030,8000,100,5,3,1,1
0.030,8000,200,11,2,1,1
0.030,8000,250,21,3,1,12
0.030,8050,30,5,4,1,923
0.030,8050,50,5,2,1,842
0.030,8050,100,10,2,1,1
0.030,8050,200,11,3,1,1
0.030,8050,250,14,4,1,1
0.070,300,30,9,2,1,1
0.070,300,50,9,4,1,1
0.070,300,100,11,2,1,2
0.070,300,200,17,4,1,4
0.070,300,250,22,2,1,4
0.070,1000,30,5,2,1,2
0.070,1000,50,7,3,1,3
0.070,1000,100,12,2,1,7
0.070,1000,200,21,3,1,14
0.070,1000,250,25,3,1,16
0.070,3000,30,6,2,1,6
0.070,3000,50,6,3,1,10
0.070,3000,100,14,2,1,20
0.070,3000,200,28,3,1,38
0.070,3000,250,33,2,1,42
0.070,6000,30,4,4,1,10
0.070,6000,50,9,3,1,15
0.070,6000,100,12,2,1,28
0.070,6000,200,20,3,1,57
0.070,6000,250,24,3,1,54
0.070,8000,30,4,3,1,9
0.070,8000,50,9,4,1,15
0.070,8000,100,9,2,1,24
0.070,8000,200,17,2,1,58
0.070,8000,250,32,2,1,1
0.070,8050,30,7,2,1,11
0.070,8050,50,7,2,1,823
0.070,8050,100,14,2,1,900
0.070,8050,200,19,3,1,1
0.070,8050,250,30,2,1,1
0.080,300,30,9,2,1,1
0.080,300,50,10,4,1,1
0.080,300,100,19,2,1,1
0.080,300,200,19,3,0,2
0.080,300,250,31,3,1,3
0.080,1000,30,7,3,1,4
0.080,1000,50,6,2,1,2
0.080,1000,100,6,2,1,4
0.080,1000,200,15,2,1,7
0.080,1000,250,20,2,1,14
0.080,3000,30,6,5,1,18
0.080,3000,50,7,3,1,7
0.080,3000,100,17,2,1,10
0.080,3000,200,21,2,1,14
0.080,3000,250,38,4,1,35
0.080,6000,30,7,2,1,49
0.080,6000,50,10,2,1,9
0.080,6000,100,7,2,1,15
0.080,6000,200,28,4,1,29
0.080,6000,250,21,2,1,49
0.080,8000,30,6,3,1,1
0.080,8000,50,12,2,1,4
0.080,8000,100,10,2,1,10
0.080,8000,200,24,3,1,16
0.080,8000,250,32,3,1,30
0.080,8050,30,6,3,1,43
0.080,8050,50,6,2,1,1
0.080,8050,100,14,2,1,11
0.080,8050,200,14,3,1,846
0.080,8050,250,30,3,1,841
0.100,300,30,10,3,1,1
0.100,300,50,8,2,1,1
0.100,300,100,15,2,1,1
0.100,300,200,32,6,1,1
0.100,300,250,31,2,1,1
0.100,1000,30,10,2,1,2
0.100,1000,50,6,2,1,3
0.100,1000,100,8,2,1,4
0.100,1000,200,18,2,1,2
0.100,1000,250,28,3,1,4
0.100,3000,30,9,2,1,7
0.100,3000,50,9,3,1,13
0.100,3000,100,17,3,1,17
0.100,3000,200,21,2,1,6
0.100,3000,250,39,2,1,10
0.100,6000,30,9,3,1,19
0.100,6000,50,8,3,1,38
0.100,6000,100,17,3,1,48
0.100,6000,200,28,2,1,10
0.100,6000,250,30,6,1,13
0.100,8000,30,8,3,1,26
0.100,8000,50,11,3,1,46
0.100,8000,100,16,2,1,1
0.100,8000,200,23,2,1,9
0.100,8000,250,28,3,1,10
0.100,8050,30,6,2,1,14
0.100,8050,50,13,2,1,28
0.100,8050,100,11,2,1,47
0.100,8050,200,27,3,1,1
0.100,8050,250,22,4,1,8
0.007,300,30,1,2,0,815
0.007,300,50,3,6,0,886
0.007,300,100,4,11,0,1
0.007,300,200,7,5,0,1
0.007,300,250,12,7,0,1
0.007,1000,30,1,6,0,1
0.007,1000,50,1,5,0,1
0.007,1000,100,2,3,0,2
0.007,1000,200,3,3,0,4
0.007,1000,250,5,2,0,4
0.007,3000,30,2,16,0,2
0.007,3000,50,4,13,0,4
0.007,3000,100,5,16,0,7
0.007,3000,200,5,20,0,13
0.007,3000,250,13,7,0,18
0.007,6000,30,2,13,0,5
0.007,6000,50,1,7,0,9
0.007,6000,100,5,4,1,14
0.007,6000,200,12,4,1,38
0.007,6000,250,11,7,1,46
0.007,8000,30,6,4,1,9
0.007,8000,50,4,5,1,13
0.007,8000,100,6,4,1,23
0.007,8000,200,7,5,1,42
0.007,8000,250,5,2,1,1
0.007,8050,30,4,10,1,10
0.007,8050,50,4,11,1,9
0.007,8050,100,4,7,1,16
0.007,8050,200,9,9,1,30
0.007,8050,250,6,8,1,57
0.010,300,30,2,5,0,1
0.010,300,50,4,2,0,9
0.010,300,100,7,7,0,801
0.010,300,200,7,6,0,894
0.010,300,250,11,4,0,1
0.010,1000,30,4,2,1,1
0.010,1000,50,2,3,0,1
0.010,1000,100,4,7,1,1
0.010,1000,200,3,4,0,1
0.010,1000,250,6,6,0,2
0.010,3000,30,9,5,1,3
0.010,3000,50,8,9,1,4
0.010,3000,100,2,10,0,2
0.010,3000,200,15,10,1,4
0.010,3000,250,17,18,1,7
0.010,6000,30,5,3,1,14
0.010,6000,50,6,4,1,18
0.010,6000,100,7,4,1,6
0.010,6000,200,6,12,0,10
0.010,6000,250,9,11,1,20
0.010,8000,30,4,8,1,36
0.010,8000,50,6,5,1,45
0.010,8000,100,5,8,1,8
0.010,8000,200,9,5,1,15
0.010,8000,250,8,4,1,22
0.010,8050,30,1,7,0,57
0.010,8050,50,5,4,1,1
0.010,8050,100,4,14,0,16
0.010,8050,200,6,7,1,10
0.010,8050,250,12,4,1,16
0.030,300,30,2,4,0,29
0.030,300,50,4,7,0,57
0.030,300,100,10,5,1,1
0.030,300,200,14,5,0,10
0.030,300,250,18,8,0,822
0.030,1000,30,2,6,0,878
0.030,1000,50,8,3,1,1
0.030,1000,100,6,2,0,1
0.030,1000,200,13,3,1,1
0.030,1000,250,10,3,1,1
0.030,3000,30,6,8,1,1
0.030,3000,50,7,5,1,2
0.030,3000,100,11,6,1,4
0.030,3000,200,18,9,1,4
0.030,3000,250,17,9,1,2
0.030,6000,30,5,4,1,4
0.030,6000,50,6,2,1,7
0.030,6000,100,9,3,1,14
0.030,6000,200,12,6,1,18
0.030,6000,250,10,9,1,6
0.030,8000,30,8,4,1,10
0.030,8000,50,4,4,1,20
0.030,8000,100,11,3,1,36
0.030,8000,200,13,4,1,44
0.030,8000,250,11,4,1,9
0.030,8050,30,6,4,1,15
0.030,8050,50,5,3,1,26
0.030,8050,100,9,2,1,54
0.030,8050,200,14,2,1,1
0.030,8050,250,11,3,1,11
0.070,300,30,1,4,0,10
0.070,300,50,12,2,1,15
0.070,300,100,12,3,1,29
0.070,300,200,15,7,0,56
0.070,300,250,42,4,1,1
0.070,1000,30,5,2,1,10
0.070,1000,50,8,2,1,836
0.070,1000,100,14,2,1,862
0.070,1000,200,15,2,1,1
0.070,1000,250,23,2,1,1
0.070,3000,30,8,5,1,1
0.070,3000,50,6,5,1,1
0.070,3000,100,9,2,1,1
0.070,3000,200,29,4,1,2
0.070,3000,250,37,3,1,3
0.070,6000,30,7,2,1,4
0.070,6000,50,6,4,1,2
0.070,6000,100,8,2,1,3
0.070,6000,200,23,2,1,6
0.070,6000,250,24,2,1,12
0.070,8000,30,7,3,1,16
0.070,8000,50,10,4,1,6
0.070,8000,100,12,3,1,8
0.070,8000,200,12,3,1,18
0.070,8000,250,29,2,1,38
0.070,8050,30,5,4,1,44
0.070,8050,50,7,2,1,9
0.070,8050,100,10,4,1,15
0.070,8050,200,22,5,1,28
0.070,8050,250,24,2,1,57
0.080,300,30,3,5,0,1
0.080,300,50,6,5,1,10
0.080,300,100,12,2,1,10
0.080,300,200,19,3,1,15
0.080,300,250,35,3,1,28
0.080,1000,30,8,2,1,56
0.080,1000,50,6,2,1,1
0.080,1000,100,11,2,1,10
0.080,1000,200,23,2,1,884
0.080,1000,250,26,4,1,972
0.080,3000,30,6,3,1,1
0.080,3000,50,8,3,1,1
0.080,3000,100,11,2,1,1
0.080,3000,200,24,3,1,1
0.080,3000,250,17,3,1,1
0.080,6000,30,4,2,1,2
0.080,6000,50,8,3,1,3
0.080,6000,100,11,3,1,4
0.080,6000,200,27,2,1,2
0.080,6000,250,23,2,1,4
0.080,8000,30,6,2,1,6
0.080,8000,50,9,4,1,13
0.080,8000,100,10,3,1,17
0.080,8000,200,18,4,1,7
0.080,8000,250,20,2,1,10
0.080,8050,30,6,2,1,18
0.080,8050,50,6,2,1,35
0.080,8050,100,12,2,1,44
0.080,8050,200,15,3,1,8
0.080,8050,250,27,2,1,15
0.100,300,30,5,5,1,29
0.100,300,50,10,4,1,53
0.100,300,100,13,3,1,1
0.100,300,200,29,2,1,2
0.100,300,250,35,4,1,10
0.100,1000,30,7,4,1,16
0.100,1000,50,6,3,1,29
0.100,1000,100,14,2,1,57
0.100,1000,200,20,3,1,1
0.100,1000,250,29,2,1,10
0.100,3000,30,5,4,1,809
0.100,3000,50,9,7,1,876
0.100,3000,100,15,4,1,1
0.100,3000,200,27,3,1,1
0.100,3000,250,25,3,1,2
0.100,6000,30,5,2,1,1
0.100,6000,50,8,4,1,1
0.100,6000,100,11,3,1,2
0.100,6000,200,22,2,1,4
0.100,6000,250,31,2,1,4
0.100,8000,30,8,2,1,2
0.100,8000,50,11,4,1,4
0.100,8000,100,16,2,1,7
0.100,8000,200,30,3,1,13
0.100,8000,250,24,3,1,16
0.100,8050,30,7,4,1,6
0.100,8050,50,9,2,1,10
0.100,8050,100,14,3,1,19
0.100,8050,200,22,2,1,35
0.100,8050,250,30,4,1,47
0.007,300,30,1,9,0,9
0.007,300,50,4,5,0,15
0.007,300,100,2,2,0,28
0.007,300,200,8,5,0,57
0.007,300,250,13,2,0,1
0.007,1000,30,5,4,1,9
0.007,1000,50,1,8,0,10
0.007,1000,100,1,3,0,15
0.007,1000,200,4,3,0,29
0.007,1000,250,6,3,1,53
0.007,3000,30,6,12,1,1
0.007,3000,50,7,20,0,11
0.007,3000,100,9,7,1,820
0.007,3000,200,10,14,0,964
0.007,3000,250,9,12,0,1
0.007,6000,30,2,7,0,1
0.007,6000,50,1,9,0,1
0.007,6000,100,4,6,1,1
0.007,6000,200,7,4,1,1
0.007,6000,250,11,12,1,2
0.007,8000,30,5,10,1,4
0.007,8000,50,4,6,1,4
0.007,8000,100,4,3,1,2
0.007,8000,200,11,8,1,4
0.007,8000,250,3,6,0,7
0.007,8050,30,4,7,1,13
0.007,8050,50,4,6,1,17
0.007,8050,100,2,4,0,6
0.007,8050,200,5,2,1,10
0.007,8050,250,11,2,1,19
0.010,300,30,2,5,0,39
0.010,300,50,3,2,0,44
0.010,300,100,1,3,0,8
0.010,300,200,4,3,0,16
0.010,300,250,11,7,0,25
0.010,1000,30,5,4,1,56
0.010,1000,50,2,5,0,1
0.010,1000,100,2,7,0,12
0.010,1000,200,10,4,1,9
0.010,1000,250,4,3,0,15
0.010,3000,30,4,12,1,29
0.010,3000,50,5,4,0,55
0.010,3000,100,9,2,1,1
0.010,3000,200,13,9,1,11
0.010,3000,250,15,5,1,866
0.010,6000,30,4,8,1,860
0.010,6000,50,4,13,0,1
0.010,6000,100,6,8,1,1
0.010,6000,200,10,8,1,1
0.010,6000,250,8,6,1,1
0.010,8000,30,5,5,1,1
0.010,8000,50,7,4,1,2
0.010,8000,100,7,8,1,3
0.010,8000,200,8,4,1,4
0.010,8000,250,9,6,1,2
0.010,8050,30,5,4,1,4
0.010,8050,50,4,3,1,7
0.010,8050,100,11,2,1,13
0.010,8050,200,8,8,1,16
0.010,8050,250,11,4,1,5
0.030,300,30,3,5,0,10
0.030,300,50,3,6,0,20
0.030,300,100,6,4,0,39
0.030,300,200,7,5,0,50
0.030,300,250,13,4,0,10
0.030,1000,30,4,2,1,14
0.030,1000,50,5,3,1,28
0.030,1000,100,12,3,1,55
0.030,1000,200,4,4,0,1
0.030,1000,250,17,2,1,16
0.030,3000,30,5,4,1,10
0.030,3000,50,6,4,1,15
0.030,3000,100,9,5,1,29
0.030,3000,200,17,9,0,55
0.030,3000,250,21,3,1,1
0.030,6000,30,5,3,1,11
0.030,6000,50,8,4,1,834
0.030,6000,100,7,4,1,831
0.030,6000,200,8,3,1,1
0.030,6000,250,16,5,1,1
0.030,8000,30,6,3,1,1
0.030,8000,50,7,2,1,1
0.030,8000,100,9,2,1,1
0.030,8000,200,11,4,1,2
0.030,8000,250,14,7,0,3
0.030,8050,30,6,3,1,4
0.030,8050,50,6,2,1,2
0.030,8050,100,7,3,1,4
0.030,8050,200,10,3,1,7
0.030,8050,250,8,5,1,13
0.070,300,30,6,3,1,14
0.070,300,50,12,6,1,6
0.070,300,100,16,4,1,9
0.070,300,200,20,3,1,19
0.070,300,250,27,2,1,36
0.070,1000,30,9,2,1,44
0.070,1000,50,9,3,1,10
0.070,1000,100,13,3,1,13
0.070,1000,200,25,2,1,27
0.070,1000,250,24,3,1,56
0.070,3000,30,7,2,1,1
0.070,3000,50,6,3,1,8
0.070,3000,100,14,3,1,8
0.070,3000,200,27,3,1,15
0.070,3000,250,31,6,1,29
0.070,6000,30,8,3,1,57
0.070,6000,50,6,2,1,1
