MiningPower,NON,Height,Onchain,Orphan,BuildTime
0.100,8050,50,4,1,1
0.100,8050,100,4,4,15
0.100,8050,200,14,10,880
0.007,300,30,0,0,997
0.007,300,50,0,0,1
0.007,300,100,0,1,1
0.007,300,200,0,1,2
0.007,300,250,1,2,1
0.007,1000,30,1,0,1
0.007,1000,50,1,0,3
0.007,1000,100,2,1,5
0.007,1000,200,4,0,6
0.007,1000,250,5,2,3
0.007,3000,30,0,0,5
0.007,3000,50,0,0,11
0.007,3000,100,0,0,19
0.007,3000,200,2,1,25
0.007,3000,250,2,1,10
0.007,6000,30,0,0,15
0.007,6000,50,0,0,31
0.007,6000,100,1,0,1
0.007,6000,200,1,3,4
0.007,8000,30,0,0,1
0.007,8000,50,0,1,7
0.007,8000,100,0,0,14
0.007,8000,200,0,0,22
0.007,8050,30,0,0,44
0.007,8050,50,0,1,1
0.007,8050,100,0,0,26
0.007,8050,200,1,1,15
0.010,300,30,0,0,22
0.010,300,50,0,1,35
0.010,300,100,0,0,1
0.010,300,200,1,3,21
0.010,300,250,0,2,938
0.010,1000,30,1,0,978
0.010,1000,50,2,0,1
0.010,1000,100,1,0,1
0.010,1000,200,5,2,2
0.010,1000,250,2,2,1
0.010,3000,30,1,0,1
0.010,3000,50,0,0,3
0.010,3000,100,1,2,5
0.010,3000,200,3,1,6
0.010,3000,250,2,1,3
0.010,6000,30,0,0,6
0.010,6000,50,0,0,10
0.010,6000,100,0,0,20
0.010,6000,200,4,0,24
0.010,8000,30,0,0,9
0.010,8000,50,0,0,13
0.010,8000,100,0,1,29
0.010,8050,30,1,0,53
0.010,8050,50,1,0,15
0.010,8050,100,1,3,23
0.010,8050,200,1,1,42
0.030,300,30,0,1,1
0.030,300,50,0,3,18
0.030,300,100,0,1,15
0.030,300,200,2,6,22
0.030,300,250,1,8,39
0.030,1000,30,0,0,1
0.030,1000,50,2,0,18
0.030,1000,100,4,2,893
0.030,1000,200,3,1,970
0.030,1000,250,9,1,1
0.030,3000,30,0,1,2
0.030,3000,50,1,1,2
0.030,3000,100,2,1,1
0.030,3000,200,2,5,1
0.030,3000,250,2,2,3
0.030,6000,30,0,0,5
0.030,6000,50,0,0,6
0.030,6000,100,2,1,3
0.030,6000,200,3,3,6
0.030,6000,250,2,5,10
0.030,8000,30,0,1,19
0.030,8000,50,0,2,27
0.030,8000,100,0,0,8
0.030,8000,200,0,6,15
0.030,8050,30,1,0,29
0.030,8050,50,1,0,56
0.030,8050,100,3,1,13
0.030,8050,200,7,2,22
0.070,300,30,3,0,42
0.070,300,50,2,3,13
0.070,300,100,1,2,21
0.070,300,200,3,10,41
0.070,300,250,4,5,1
0.070,1000,30,3,0,15
0.070,1000,50,2,1,894
0.070,1000,100,9,4,1
0.070,1000,200,10,6,1
0.070,1000,250,14,5,1
0.070,3000,30,1,2,2
0.070,3000,50,1,3,1
0.070,3000,100,3,6,1
0.070,3000,200,11,10,3
0.070,3000,250,6,9,5
0.070,6000,30,0,3,6
0.070,6000,50,1,0,4
0.070,6000,100,6,3,5
0.070,6000,200,6,7,9
0.070,8000,30,2,2,19
0.070,8000,50,1,1,23
0.070,8000,100,7,1,9
0.070,8000,200,0,14,18
0.070,8050,30,1,0,29
0.070,8050,50,2,1,51
0.070,8050,100,5,1,1
0.080,300,30,0,3,5
0.080,300,50,3,4,14
0.080,300,100,3,8,21
0.080,300,200,3,9,45
0.080,300,250,5,13,1
0.080,1000,30,0,0,18
0.080,1000,50,1,2,13
0.080,1000,100,9,4,19
0.080,1000,200,19,5,44
0.080,1000,250,16,9,1
0.080,3000,30,0,0,23
0.080,3000,50,1,2,957
0.080,3000,100,2,3,993
0.080,3000,200,6,11,1
0.080,3000,250,5,10,2
0.080,6000,30,1,3,2
0.080,6000,50,3,2,1
0.080,6000,100,2,5,1
0.080,6000,200,8,15,3
0.080,6000,250,12,11,5
0.080,8000,30,1,0,6
0.080,8000,50,0,0,3
0.080,8000,100,3,8,5
0.080,8000,200,3,15,10
0.080,8050,30,3,1,21
0.080,8050,50,1,1,25
0.080,8050,100,5,3,9
0.080,8050,200,8,6,13
0.100,300,30,2,1,28
0.100,300,50,2,3,56
0.100,300,100,11,1,13
0.100,300,200,3,13,19
0.100,300,250,12,17,40
0.100,1000,30,2,0,1
0.100,1000,50,7,1,19
0.100,1000,100,7,1,15
0.100,1000,200,18,6,19
0.100,1000,250,22,10,38
0.100,3000,30,2,2,1
0.100,3000,50,1,3,1
0.100,3000,100,8,5,1
0.100,3000,200,9,12,2
0.100,3000,250,12,10,2
0.100,6000,30,5,4,1
0.100,6000,50,3,2,2
0.100,6000,100,3,7,3
0.100,6000,200,9,10,5
0.100,6000,250,8,9,6
0.100,8000,30,4,2,3
0.100,8000,50,0,6,6
0.100,8000,100,1,8,10
0.100,8000,200,5,22,20
0.100,8050,30,2,2,24
0.100,8050,50,5,3,9
0.100,8050,100,4,2,15
0.007,300,30,0,0,28
0.007,300,50,0,0,51
0.007,300,100,1,1,1
0.007,300,200,0,2,8
0.007,300,250,0,2,13
0.007,1000,30,0,0,20
0.007,1000,50,1,0,33
0.007,1000,100,0,1,1
0.007,1000,200,3,0,17
0.007,1000,250,2,2,13
0.007,3000,30,0,0,20
0.007,3000,50,0,0,42
0.007,3000,100,0,0,1
0.007,3000,200,2,3,16
0.007,3000,250,1,0,1
0.007,6000,30,0,0,1
0.007,6000,50,0,0,1
0.007,6000,100,1,1,1
0.007,6000,200,2,0,2
0.007,6000,250,0,0,1
0.007,8000,30,0,1,1
0.007,8000,50,0,0,3
0.007,8000,100,0,1,5
0.007,8000,200,0,1,7
0.007,8050,30,0,0,3
0.007,8050,50,0,0,5
0.007,8050,100,0,1,11
0.007,8050,200,1,0,24
0.010,300,30,0,0,26
0.010,300,50,0,0,10
0.010,300,100,0,1,14
0.010,300,200,0,2,26
0.010,300,250,0,1,51
0.010,1000,30,0,0,1
0.010,1000,50,1,0,7
0.010,1000,100,0,0,12
0.010,1000,200,3,0,22
0.010,1000,250,4,0,43
0.010,3000,30,0,0,1
0.010,3000,50,0,1,22
0.010,3000,100,1,0,13
0.010,3000,200,3,0,21
0.010,3000,250,2,2,37
0.010,6000,30,0,1,875
0.010,6000,50,0,0,953
0.010,6000,100,0,1,1
0.010,6000,200,2,5,2
0.010,6000,250,0,0,2
0.010,8000,30,0,1,1
0.010,8000,50,1,0,1
0.010,8000,100,0,1,3
0.010,8000,200,0,2,5
0.010,8050,30,1,0,6
0.010,8050,50,1,0,4
0.010,8050,100,1,0,5
0.030,300,30,0,0,10
0.030,300,50,0,1,19
0.030,300,100,1,3,22
0.030,300,200,0,4,8
0.030,300,250,0,9,14
0.030,1000,30,0,0,25
0.030,1000,50,1,0,53
0.030,1000,100,3,0,1
0.030,1000,200,7,1,5
0.030,1000,250,5,0,11
0.030,3000,30,0,0,23
0.030,3000,50,0,1,43
0.030,3000,100,1,4,1
0.030,3000,200,1,7,15
0.030,3000,250,6,5,13
0.030,6000,30,1,0,22
0.030,6000,50,1,1,39
0.030,6000,100,3,2,1
0.030,6000,200,0,3,15
0.030,6000,250,5,6,868
0.030,8000,30,0,2,989
0.030,8000,50,0,1,1
0.030,8000,100,1,2,2
0.030,8050,30,0,1,2
0.030,8050,50,0,0,1
0.030,8050,100,6,2,1
0.030,8050,200,3,4,3
0.070,300,30,0,1,5
0.070,300,50,1,6,6
0.070,300,100,4,7,3
0.070,300,200,4,13,5
0.070,300,250,7,6,10
0.070,1000,30,1,1,18
0.070,1000,50,2,0,23
0.070,1000,100,6,3,9
0.070,1000,200,7,2,13
0.070,1000,250,11,4,29
0.070,3000,30,0,5,50
0.070,3000,50,0,2,1
0.070,3000,100,4,3,7
0.070,3000,200,10,6,11
0.070,3000,250,10,11,24
0.070,6000,30,0,1,39
0.070,6000,50,0,1,1
0.070,6000,100,5,5,21
0.070,6000,200,2,9,15
0.070,8000,30,1,2,21
0.070,8000,50,1,2,41
0.070,8000,100,1,9,927
0.070,8050,30,1,1,958
0.070,8050,50,3,2,1
0.070,8050,100,5,4,1
0.070,8050,200,8,6,2
0.080,300,30,0,0,1
0.080,300,50,5,6,1
0.080,300,100,0,11,3
0.080,300,200,3,16,5
0.080,300,250,1,12,7
0.080,1000,30,0,0,4
0.080,1000,50,6,4,5
0.080,1000,100,6,3,10
0.080,1000,200,11,9,20
0.080,1000,250,17,8,24
0.080,3000,30,1,0,9
0.080,3000,50,1,3,15
0.080,3000,100,8,4,29
0.080,3000,200,13,9,53
0.080,3000,250,13,11,1
0.080,6000,30,0,2,8
0.080,6000,50,2,3,15
0.080,6000,100,2,4,21
0.080,6000,200,6,11,46
0.080,6000,250,3,12,15
0.080,8000,30,0,2,17
0.080,8000,50,1,3,41
0.080,8000,100,1,9,1
0.080,8050,30,0,4,20
0.080,8050,50,3,0,942
0.080,8050,100,6,5,1
0.080,8050,200,11,3,1
0.100,300,30,3,0,1
0.100,300,50,2,3,2
0.100,300,100,3,6,1
0.100,300,200,7,16,1
0.100,300,250,15,18,3
0.100,1000,30,5,1,6
0.100,1000,50,2,1,6
0.100,1000,100,10,6,4
0.100,1000,200,16,3,5
0.100,1000,250,15,5,11
0.100,3000,30,2,0,18
0.100,3000,50,0,1,25
0.100,3000,100,7,5,9
0.100,3000,200,9,9,15
0.100,3000,250,9,20,29
0.100,6000,30,1,2,59
0.100,6000,50,9,4,14
0.100,6000,100,0,4,22
0.100,6000,200,15,8,44
0.100,6000,250,11,16,13
0.100,8000,30,2,1,22
0.100,8000,50,1,7,41
0.100,8000,100,0,6,1
0.100,8050,30,2,0,19
0.100,8050,50,5,0,878
0.100,8050,100,4,2,1
0.007,300,30,0,0,1
0.007,300,50,0,2,1
0.007,300,100,0,0,2
0.007,300,200,1,0,1
0.007,300,250,1,1,2
0.007,1000,30,1,0,3
0.007,1000,50,0,1,5
0.007,1000,100,3,0,6
0.007,1000,200,4,1,3
0.007,1000,250,2,0,6
0.007,3000,30,0,0,10
0.007,3000,50,0,0,20
0.007,3000,100,0,0,25
0.007,3000,200,1,3,10
0.007,3000,250,1,1,16
0.007,6000,30,0,0,31
0.007,6000,50,1,0,56
0.007,6000,100,0,0,54
0.007,6000,200,0,1,15
0.007,6000,250,0,1,22
0.007,8000,30,0,0,45
0.007,8000,50,0,0,12
0.007,8000,100,0,0,21
0.007,8000,200,0,3,39
0.007,8050,30,1,0,1
0.007,8050,50,0,0,20
0.007,8050,100,0,0,935
0.007,8050,200,0,0,979
0.010,300,30,0,0,1
0.010,300,50,0,1,2
0.010,300,100,0,1,2
0.010,300,200,0,2,1
0.010,300,250,0,1,2
0.010,1000,30,3,0,3
0.010,1000,50,1,1,5
0.010,1000,100,4,0,6
0.010,1000,200,7,1,3
0.010,1000,250,5,2,5
0.010,3000,30,0,0,10
0.010,3000,50,0,0,20
0.010,3000,100,1,0,24
0.010,3000,200,1,0,9
0.010,3000,250,2,2,14
0.010,6000,30,0,0,29
0.010,6000,50,0,2,49
0.010,6000,100,1,0,1
0.010,6000,200,0,0,16
0.010,6000,250,1,1,15
0.010,8000,30,0,0,23
0.010,8000,50,0,1,40
0.010,8000,100,1,0,12
0.010,8000,200,0,2,19
0.010,8050,30,0,0,40
0.010,8050,50,0,0,865
0.010,8050,100,1,2,990
0.010,8050,200,2,0,1
0.030,300,30,1,0,1
0.030,300,50,0,0,2
0.030,300,100,0,2,1
0.030,300,200,0,5,1
0.030,300,250,2,7,3
0.030,1000,30,0,0,5
0.030,1000,50,2,2,6
0.030,1000,100,3,1,4
0.030,1000,200,4,3,5
0.030,1000,250,3,1,9
0.030,3000,30,2,0,20
0.030,3000,50,1,0,24
0.030,3000,100,2,2,8
0.030,3000,200,4,2,15
0.030,3000,250,2,4,28
0.030,6000,30,1,0,51
0.030,6000,50,2,0,1
0.030,6000,100,0,0,4
0.030,6000,200,5,6,15
0.030,6000,250,3,2,20
0.030,8000,30,0,1,40
0.030,8000,50,1,2,1
0.030,8000,100,0,2,23
0.030,8000,200,3,3,13
0.030,8050,30,1,0,21
0.030,8050,50,1,0,40
0.030,8050,100,2,0,1
0.030,8050,200,2,4,21
0.070,300,30,0,2,868
0.070,300,50,0,2,1
0.070,300,100,0,6,1
0.070,300,200,3,9,1
0.070,300,250,4,16,2
0.070,1000,30,1,2,1
0.070,1000,50,2,2,1
0.070,1000,100,4,4,3
0.070,1000,200,9,2,5
0.070,1000,250,7,3,6
0.070,3000,30,0,1,3
0.070,3000,50,4,1,5
0.070,3000,100,5,3,12
0.070,3000,200,7,7,19
0.070,3000,250,5,16,23
0.070,6000,30,2,1,9
0.070,6000,50,1,4,14
0.070,6000,100,2,5,27
0.070,6000,200,8,9,52
0.070,6000,250,10,4,1
0.070,8000,30,0,1,4
0.070,8000,50,0,1,13
0.070,8000,100,4,6,22
0.070,8000,200,2,12,41
0.070,8050,30,1,0,1
0.070,8050,50,6,0,19
0.070,8050,100,2,4,12
0.070,8050,200,5,5,21
0.080,300,30,0,2,42
0.080,300,50,0,2,1
0.080,300,100,0,8,20
0.080,300,200,3,17,883
0.080,300,250,7,14,987
0.080,1000,30,0,1,1
0.080,1000,50,5,0,1
0.080,1000,100,5,5,2
0.080,1000,200,18,3,1
0.080,1000,250,15,5,2
0.080,3000,30,2,1,3
0.080,3000,50,0,3,5
0.080,3000,100,7,3,6
0.080,3000,200,6,8,3
0.080,3000,250,5,15,5
0.080,6000,30,0,1,10
0.080,6000,50,0,1,19
0.080,6000,100,3,6,25
0.080,6000,200,13,3,9
0.080,6000,250,10,12,14
0.080,8000,30,0,1,27
0.080,8000,50,0,3,58
0.080,8000,100,1,8,1
0.080,8000,200,3,14,11
0.080,8050,30,3,2,14
0.080,8050,50,5,0,22
0.080,8050,100,9,2,45
0.080,8050,200,17,5,1
0.100,300,30,3,1,22
0.100,300,50,4,4,13
0.100,300,100,10,8,18
0.100,300,200,11,15,39
0.100,300,250,15,20,1
0.100,1000,30,3,1,7
0.100,1000,50,5,1,905
0.100,1000,100,4,4,1
0.100,1000,200,15,4,1
0.100,1000,250,25,6,1
0.100,3000,30,0,2,2
0.100,3000,50,4,3,1
0.100,3000,100,4,5,1
0.100,3000,200,5,8,3
0.100,3000,250,10,13,5
0.100,6000,30,1,1,6
0.100,6000,50,2,2,3
0.100,6000,100,8,2,6
0.100,6000,200,20,10,10
0.100,6000,250,16,8,19
0.100,8000,30,0,3,25
0.100,8000,50,2,2,9
0.100,8000,100,6,7,13
0.100,8050,30,2,1,27
0.100,8050,50,3,2,53
0.100,8050,100,7,4,1
0.100,8050,200,9,7,10
0.007,300,30,0,0,15
0.007,300,50,0,0,21
0.007,300,100,0,0,46
0.007,300,200,0,1,1
0.007,300,250,0,0,20
0.007,1000,30,0,0,13
0.007,1000,50,0,0,21
0.007,1000,100,0,0,44
0.007,1000,200,2,0,1
0.007,1000,250,3,2,15
0.007,3000,30,0,1,892
0.007,3000,50,1,0,988
0.007,3000,100,1,0,1
0.007,3000,200,1,0,2
0.007,3000,250,3,0,2
0.007,6000,30,0,0,1
0.007,6000,50,0,1,1
0.007,6000,100,0,0,3
0.007,6000,200,1,0,5
0.007,6000,250,1,0,6
0.007,8000,30,0,0,3
0.007,8000,50,0,1,5
0.007,8000,100,0,1,10
0.007,8000,200,1,0,18
0.007,8050,30,0,0,22
0.007,8050,50,0,0,10
0.007,8050,100,0,0,13
0.007,8050,200,2,1,31
0.010,300,30,0,0,55
0.010,300,50,0,0,1
0.010,300,100,1,1,8
0.010,300,200,0,1,13
0.010,300,250,0,3,20
0.010,1000,30,0,0,46
0.010,1000,50,0,0,1
0.010,1000,100,0,0,7
0.010,1000,200,2,1,13
0.010,1000,250,0,1,20
0.010,3000,30,0,0,41
0.010,3000,50,0,0,1
0.010,3000,100,1,1,16
0.010,3000,200,1,0,908
0.010,3000,250,0,3,987
0.010,6000,30,0,0,1
0.010,6000,50,0,0,2
0.010,6000,100,0,3,2
0.010,6000,200,1,2,1
0.010,8000,30,1,1,1
0.010,8000,50,0,1,3
0.010,8000,100,0,0,5
0.010,8050,30,0,0,7
0.010,8050,50,0,0,3
0.010,8050,100,0,0,5
0.010,8050,200,2,0,9
0.030,300,30,0,0,21
0.030,300,50,0,3,23
0.030,300,100,0,1,9
0.030,300,200,0,3,15
0.030,300,250,1,3,28
0.030,1000,30,0,0,57
0.030,1000,50,1,0,1
0.030,1000,100,5,0,10
0.030,1000,200,5,3,13
0.030,1000,250,14,5,22
0.030,3000,30,1,0,46
0.030,3000,50,0,1,15
0.030,3000,100,0,1,23
0.030,3000,200,2,4,42
0.030,3000,250,1,6,1
0.030,6000,30,0,1,16
0.030,6000,50,2,0,879
0.030,6000,100,1,1,976
0.030,6000,200,5,6,1
0.030,8000,30,0,1,1
0.030,8000,50,0,0,2
0.030,8000,100,1,1,1
0.030,8050,30,2,0,1
0.030,8050,50,0,0,3
0.030,8050,100,1,1,5
0.030,8050,200,3,0,6
0.070,300,30,0,2,4
0.070,300,50,2,1,5
0.070,300,100,4,3,10
0.070,300,200,0,11,19
0.070,300,250,0,8,24
0.070,1000,30,1,0,10
0.070,1000,50,1,1,14
0.070,1000,100,5,2,30
0.070,1000,200,10,8,49
0.070,1000,250,14,9,1
0.070,3000,30,0,1,7
0.070,3000,50,3,2,15
0.070,3000,100,3,3,20
0.070,3000,200,10,3,44
0.070,3000,250,10,10,1
0.070,6000,30,0,0,21
0.070,6000,50,1,0,14
0.070,6000,100,2,4,22
0.070,6000,200,5,10,39
0.070,6000,250,10,10,1
0.070,8000,30,0,2,13
0.070,8000,50,0,3,865
0.070,8000,100,0,6,968
0.070,8050,30,2,0,1
0.070,8050,50,4,1,1
0.070,8050,100,4,1,2
0.070,8050,200,18,4,1
0.080,300,30,0,1,1
0.080,300,50,3,2,3
0.080,300,100,4,6,5
0.080,300,200,12,21,6
0.080,300,250,2,7,3
0.080,1000,30,1,3,5
0.080,1000,50,1,1,10
0.080,1000,100,6,2,19
0.080,1000,200,11,8,24
0.080,1000,250,13,8,9
0.080,3000,30,2,0,14
0.080,3000,50,2,3,28
0.080,3000,100,5,4,54
0.080,3000,200,6,9,15
